year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mark,model
2014,450000,145.5,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2014,370000,120.0,Diesel,Individual,Manual,Second Owner,21.1,1498,103.52,250  @ 1500-2500 ,5,Skoda,Rapid
2010,225000,127.0,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4 @ 1750-2750 ,5,Hyundai,i20
2007,130000,120.0,Petrol,Individual,Manual,First Owner,16.0,1298,88.2,"11.5 @ 4,500 @  )",5,Maruti,Swift
2017,440000,45.0,Petrol,Individual,Manual,First Owner,20.1,1197,81.86,113.75nm @ 4000 ,5,Hyundai,Xcent
2007,96000,175.0,Other,Individual,Manual,First Owner,24.22,1061,57.5,"7.8 @ 4,500 @  )",5,Maruti,Wagon
2001,45000,5.0,Petrol,Individual,Manual,Second Owner,16.0,796,37.0,59  @ 2500 ,4,Maruti,800
2011,350000,90.0,Diesel,Individual,Manual,First Owner,23.5,1364,67.1,170  @ 1800-2400 ,5,Toyota,Etios
2013,200000,169.0,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160  @ 2000 ,5,Ford,Figo
2014,500000,68.0,Diesel,Individual,Manual,Second Owner,19.0,1461,108.45,248  @ 2250 ,5,Renault,Duster
2005,92000,100.0,Petrol,Individual,Manual,Second Owner,17.0,993,60.0,78  @ 4500 ,5,Maruti,Zen
2009,280000,140.0,Diesel,Individual,Manual,Second Owner,19.0,1248,73.9,190  @ 2000 ,5,Maruti,Swift
2009,180000,90.0,Petrol,Individual,Manual,Second Owner,18.0,1061,67.0,84  @ 3500 ,5,Maruti,Wagon
2016,400000,40.0,Petrol,Individual,Manual,First Owner,18.1,1198,82.0,115  @ 3500-3600 ,5,Mahindra,KUV
2012,500000,53.0,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4 @ 1750-2750 ,5,Hyundai,i20
2002,150000,80.0,Petrol,Individual,Manual,Second Owner,19.0,796,46.3,62  @ 3000 ,5,Maruti,Alto
2016,680000,100.0,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,219.7  @ 1500-2750 ,5,Hyundai,i20
2011,174000,100.0,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160  @ 2000 ,5,Mahindra,Verito
2017,950000,50.0,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200  @ 1750 ,5,Honda,WR-V
2015,525000,40.0,Diesel,Individual,Manual,First Owner,26.5,1248,74.0,190  @ 2000 ,5,Maruti,Swift
2012,600000,72.0,Diesel,Individual,Manual,First Owner,21.0,1248,88.8,200  @ 1750 ,5,Maruti,SX4
2016,575000,45.0,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115  @ 4000 ,5,Maruti,Baleno
2017,275000,28.0,Petrol,Individual,Manual,First Owner,24.0,796,47.3,69  @ 3500 ,5,Maruti,Alto
2013,300000,70.0,Diesel,Individual,Manual,First Owner,18.0,1248,73.8,172.5  @ 1750 ,7,Chevrolet,Enjoy
